year,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified
2012,NEW MEXICO,NM,35,85,66,,NEW MEXICO INDEPENDENT PARTY,FALSE,1174,783758,OTHER
2004,WYOMING,WY,56,83,68,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,1171,243861,LIBERTARIAN
2004,PENNSYLVANIA,PA,42,23,14,BLANK VOTE/SCATTERING,,FALSE,1170,5769590,OTHER
1984,MISSISSIPPI,MS,28,64,46,"HOLMES, LARRY",WORKERS WORLD,FALSE,1169,941104,OTHER
2000,IOWA,IA,19,42,31,SCATTERING,,FALSE,1168,1353022,OTHER
1992,IDAHO,ID,16,82,63,"MARROU, ANDRE",LIBERTARIAN,FALSE,1167,482114,LIBERTARIAN
1984,LOUISIANA,LA,22,72,45,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,1164,1706822,OTHER
1976,UTAH,UT,49,87,67,"MADDOX, LESTER",CONCERNED CITIZENS,FALSE,1162,541218,OTHER
1988,DELAWARE,DE,10,51,11,"PAUL, RONALD """"RON""""",LIBERTARIAN,FALSE,1162,249891,LIBERTARIAN
2020,MISSISSIPPI,MS,28,64,46,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,FALSE,1161,1313759,OTHER
2008,GEORGIA,GA,13,58,44,,INDEPENDENT,TRUE,1158,3924486,OTHER
2020,NEW HAMPSHIRE,NH,33,12,4,,,TRUE,1158,806182,OTHER
2000,MONTANA,MT,30,81,64,"PHILLIPS, HOWARD",CONSTITUTION PARTY,FALSE,1155,410986,OTHER
2004,NEVADA,NV,32,88,65,"PEROUTKA, MICHAEL",INDEPENDENT AMERICAN,FALSE,1152,829587,OTHER
1984,SOUTH DAKOTA,SD,46,45,37,"SERRETTE, DENNIS",ALLIANCE,FALSE,1150,317867,OTHER
2008,ILLINOIS,IL,17,33,21,,NEW,FALSE,1149,5522371,OTHER
1976,MICHIGAN,MI,26,34,23,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,FALSE,1148,3651590,OTHER
2004,IOWA,IA,19,42,31,"COBB, DAVID",GREEN,FALSE,1141,1506908,OTHER
2008,ARKANSAS,AR,5,71,42,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,FALSE,1139,1086617,OTHER
2020,UTAH,UT,49,87,67,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,TRUE,1139,1488289,OTHER
2008,DISTRICT OF COLUMBIA,DC,11,53,55,,,TRUE,1138,265853,OTHER
2012,KANSAS,KS,20,47,32,,,TRUE,1138,1159971,OTHER
1980,WASHINGTON,WA,53,91,73,"DEBERRY, CLIFTON",SOCIALIST WORKERS,FALSE,1137,1742394,OTHER
1992,LOUISIANA,LA,22,72,45,"LAROUCHE, LYNDON, JR.","JUSTICE, INDUSTRY, AND AGRICULTURE",FALSE,1136,1790017,OTHER
1988,VERMONT,VT,50,13,6,SCATTERING,,FALSE,1134,243328,OTHER
2012,VERMONT,VT,50,13,6,"ANDERSON, ROSS CARL """"ROCKY""""",JUSTICE,FALSE,1128,299290,OTHER
2016,SOUTH DAKOTA,SD,46,45,37,"CASTLE, DARRELL L.",CONSTITUTION PARTY,FALSE,4064,370093,OTHER
2020,ALASKA,AK,2,94,81,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,1127,359530,OTHER
2020,LOUISIANA,LA,22,72,45,"BODDIE, R. PRESIDENT",C.U.P,FALSE,1125,2148062,OTHER
1996,ALABAMA,AL,1,63,41,,,TRUE,1123,1534349,OTHER
1976,COLORADO,CO,8,84,62,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,1122,1081440,OTHER
2000,ARIZONA,AZ,4,86,61,"HAGELIN, JOHN",NATURAL LAW,FALSE,1120,1532016,OTHER
1992,HAWAII,HI,15,95,82,"MARROU, ANDRE",LIBERTARIAN,FALSE,1119,372842,LIBERTARIAN
1980,MINNESOTA,MN,27,41,33,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1117,2051916,OTHER
2020,MARYLAND,MD,24,52,52,"WEST, KANYE",THE BIRTHDAY PARTY,TRUE,1117,3037030,OTHER
2004,IDAHO,ID,16,82,63,"NADER, RALPH",INDEPENDENT,FALSE,1115,598376,OTHER
1980,TENNESSEE,TN,47,62,54,"COMMONER, BARRY",CITIZENS,FALSE,1112,1617616,OTHER
1976,NEW MEXICO,NM,35,85,66,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1110,416590,LIBERTARIAN
1996,RHODE ISLAND,RI,44,15,5,"BROWNE, HARRY",LIBERTARIAN,FALSE,1109,390247,LIBERTARIAN
2008,DELAWARE,DE,10,51,11,"BARR, BOB",LIBERTARIAN,FALSE,1109,412412,LIBERTARIAN
1992,DELAWARE,DE,10,51,11,"FULANI, LENORA",NEW ALLIANCE,FALSE,1105,289620,OTHER
1980,DISTRICT OF COLUMBIA,DC,11,53,55,"CLARK, EDWARD """"ED""""",LIBERTARIAN,FALSE,1104,173889,LIBERTARIAN
2000,MISSOURI,MO,29,43,34,"HAGELIN, JOHN",NATURAL LAW,FALSE,1104,2359892,OTHER
2000,LOUISIANA,LA,22,72,45,"HARRIS, JAMES",SOCIALIST WORKERS,FALSE,1103,1765656,OTHER
2004,SOUTH DAKOTA,SD,46,45,37,"PEROUTKA, MICHAEL",CONSTITUTION PARTY,FALSE,1103,388215,OTHER
2004,VERMONT,VT,50,13,6,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,1102,312309,LIBERTARIAN
1996,UTAH,UT,49,87,67,"CRANE, PETER",INDEPENDENT,FALSE,1101,665629,OTHER
1980,ARIZONA,AZ,4,86,61,"DEBERRY, CLIFTON",SOCIALIST WORKERS,FALSE,1100,873945,OTHER
2000,ARKANSAS,AR,5,71,42,"HAGELIN, JOHN",NATURAL LAW,FALSE,1098,921781,OTHER
2016,NORTH DAKOTA,ND,38,44,36,"TRUMP, DONALD J.",REPUBLICAN,FALSE,216794,344360,REPUBLICAN
2004,NEW HAMPSHIRE,NH,33,12,4,OTHER,,FALSE,1095,678287,OTHER
2004,IOWA,IA,19,42,31,OTHER,,TRUE,1094,1506908,OTHER
1976,MINNESOTA,MN,27,41,33,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1092,1949931,OTHER
2012,MINNESOTA,MN,27,41,33,"MORSTAD, DEAN",CONSTITUTIONAL GOVERNMENT,FALSE,1092,2936561,OTHER
1976,VERMONT,VT,50,13,6,OTHER,,FALSE,1090,183902,OTHER
1992,UTAH,UT,49,87,67,"LAROUCHE, LYNDON, JR.",INDEPENDENTS FOR ECONOMIC RECOVERY,FALSE,1089,743998,OTHER
2020,WISCONSIN,WI,55,35,25,"HAWKINS, HOWIE",GREEN,TRUE,1089,3298041,OTHER
1996,UTAH,UT,49,87,67,"HAGELIN, JOHN",NATURAL LAW,FALSE,1085,665629,OTHER
2020,IOWA,IA,19,42,31,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,FALSE,1082,1700130,OTHER
1984,NORTH DAKOTA,ND,38,44,36,"RICHARDS, BOB",POPULIST,FALSE,1077,308971,OTHER
2004,WASHINGTON,WA,53,91,73,"PARKER, JOHN",WORKERS WORLD,FALSE,1077,2859084,OTHER
1992,IOWA,IA,19,42,31,"MARROU, ANDRE",LIBERTARIAN,FALSE,1076,1354607,LIBERTARIAN
2000,LOUISIANA,LA,22,72,45,"HAGELIN, JOHN",NATURAL LAW,FALSE,1075,1765656,OTHER
2004,MISSISSIPPI,MS,28,64,46,"COBB, DAVID",GREEN,FALSE,1073,1139824,OTHER
2000,HAWAII,HI,15,95,82,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,FALSE,1071,367951,OTHER
1992,WISCONSIN,WI,55,35,25,"HAGELIN, JOHN",NATURAL LAW,FALSE,1070,2531064,OTHER
2000,ALASKA,AK,2,94,81,,,TRUE,1068,285560,OTHER
2008,VERMONT,VT,50,13,6,"BARR, BOB",LIBERTARIAN,FALSE,1067,325046,LIBERTARIAN
1984,NEBRASKA,NE,31,46,35,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,1066,652090,OTHER
1980,NEW YORK,NY,36,21,13,,,TRUE,1064,6201959,OTHER
2016,NORTH DAKOTA,ND,38,44,36,"CLINTON, HILLARY",DEMOCRAT,FALSE,93758,344360,DEMOCRAT
2016,NORTH DAKOTA,ND,38,44,36,"JOHNSON, GARY",LIBERTARIAN,FALSE,21434,344360,LIBERTARIAN
2004,ALASKA,AK,2,94,81,"COBB, DAVID",GREEN,FALSE,1058,312598,OTHER
2016,NORTH DAKOTA,ND,38,44,36,,,TRUE,6397,344360,OTHER
1980,IDAHO,ID,16,82,63,"RARICK, JOHN",AMERICAN INDEPENDENT PARTY,FALSE,1057,437431,OTHER
1984,IOWA,IA,19,42,31,OTHER,,FALSE,1051,1319805,OTHER
2012,MINNESOTA,MN,27,41,33,"HARRIS, JAMES",SOCIALIST WORKERS,FALSE,1051,2936561,OTHER
1984,MICHIGAN,MI,26,34,23,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,1049,3801658,OTHER
1984,MICHIGAN,MI,26,34,23,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1048,3801658,OTHER
1976,WASHINGTON,WA,53,91,73,"ANDERSON, THOMAS J.",CONSTITUTION PARTY,FALSE,1046,1555534,OTHER
1976,NEW JERSEY,NJ,34,22,12,"WRIGHT, MARGARET",PEACE & FREEDOM,FALSE,1044,3014472,OTHER
2000,VERMONT,VT,50,13,6,"DENNIS """"DENNY"""", LANE",VERMONT GRASSROOTS,FALSE,1044,294308,OTHER
1984,TENNESSEE,TN,47,62,54,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1036,1711993,OTHER
1976,OREGON,OR,41,92,72,"ANDERSON, THOMAS J.",AMERICAN,FALSE,1035,1029876,OTHER
2020,COLORADO,CO,8,84,62,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,FALSE,1035,3279980,OTHER
2008,MISSISSIPPI,MS,28,64,46,"MCKINNEY, CYNTHIA",GREEN,FALSE,1034,1289865,OTHER
1984,MISSISSIPPI,MS,28,64,46,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,1032,941104,OTHER
2008,NEBRASKA,NE,31,46,35,"MCKINNEY, CYNTHIA",GREEN,FALSE,1028,801281,OTHER
1992,MASSACHUSETTS,MA,25,14,3,"LAROUCHE, LYNDON, JR.",LAROUCHE FOR PRESIDENT PARTY,FALSE,1027,2773664,OTHER
2012,IOWA,IA,19,42,31,,NOMINATED BY PETITION,FALSE,1027,1582180,OTHER
1996,KANSAS,KS,20,47,32,,,TRUE,1026,1074300,OTHER
1984,NEBRASKA,NE,31,46,35,"SERRETTE, DENNIS",ALLIANCE,FALSE,1025,652090,OTHER
1988,ALASKA,AK,2,94,81,"FULANI, LENORA",NEW ALLIANCE,FALSE,1024,200116,OTHER
2012,NEW JERSEY,NJ,34,22,12,"BOSS, JEFFERY",NSA DID 911,FALSE,1024,3638499,OTHER
2000,MINNESOTA,MN,27,41,33,"HARRIS, JAMES",SOCIALIST WORKERS,FALSE,1022,2438685,OTHER
1996,RHODE ISLAND,RI,44,15,5,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,FALSE,1021,390247,OTHER
1988,NEW JERSEY,NJ,34,22,12,"HOLMES, LARRY",WORKERS WORLD,FALSE,1020,3099553,OTHER
2012,MISSISSIPPI,MS,28,64,46,"WASHER, BARBARA DALE",REFORM PARTY,FALSE,1016,1285584,OTHER
2008,HAWAII,HI,15,95,82,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,FALSE,1013,456064,OTHER
2020,GEORGIA,GA,13,58,44,"HAWKINS, HOWIE",GREEN,TRUE,1013,4999960,OTHER
1980,UTAH,UT,49,87,67,"COMMONER, BARRY",CITIZENS,FALSE,1009,604152,OTHER
1980,ALABAMA,AL,1,63,41,"MCREYNOLDS, DAVID",SOCIALIST,FALSE,1006,1341929,OTHER
1984,WISCONSIN,WI,55,35,25,"SERRETTE, DENNIS",ALLIANCE,FALSE,1006,2211689,OTHER
1988,HAWAII,HI,15,95,82,"FULANI, LENORA",NO PARTY AFFILIATION,FALSE,1003,354461,OTHER
1984,VERMONT,VT,50,13,6,"BERGLAND, DAVID",LIBERTARIAN,FALSE,1002,234561,LIBERTARIAN
1984,MISSISSIPPI,MS,28,64,46,"LAROUCHE, LYNDON, JR.",INDEPENDENT,FALSE,1001,941104,OTHER
1988,VERMONT,VT,50,13,6,"PAUL, RONALD """"RON""""",LIBERTARIAN,FALSE,1000,243328,LIBERTARIAN
1984,WEST VIRGINIA,WV,54,55,56,"RICHARDS, BOB",POPULIST,FALSE,996,735742,OTHER
2004,MONTANA,MT,30,81,64,"COBB, DAVID",GREEN,FALSE,996,450434,OTHER
2012,INDIANA,IN,18,32,22,,,TRUE,993,2624534,OTHER
1992,MINNESOTA,MN,27,41,33,"WARREN, JAMES """"MAC""""",SOCIALIST WORKERS,FALSE,990,2347948,OTHER
1992,KENTUCKY,KY,21,61,51,"PHILLIPS, HOWARD",TAXPAYERS PARTY,FALSE,989,1492900,OTHER
2020,INDIANA,IN,18,32,22,"HAWKINS, HOWIE",GREEN,TRUE,988,3033118,OTHER
2020,LOUISIANA,LA,22,72,45,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,FALSE,987,2148062,OTHER
1992,MONTANA,MT,30,81,64,"MARROU, ANDRE",LIBERTARIAN,FALSE,986,410583,LIBERTARIAN
2004,LOUISIANA,LA,22,72,45,"CALERO, ROGER",SOCIALIST,FALSE,985,1943106,OTHER
2008,UTAH,UT,49,87,67,"MCKINNEY, CYNTHIA",GREEN,FALSE,982,952370,OTHER
2012,NEW MEXICO,NM,35,85,66,"GOODE, VIRGIL HAMLIN, JR.",CONSTITUTION PARTY,FALSE,982,783758,OTHER
2008,HAWAII,HI,15,95,82,"MCKINNEY, CYNTHIA",GREEN,FALSE,979,456064,OTHER
1984,COLORADO,CO,8,84,62,"SERRETTE, DENNIS",ALLIANCE,FALSE,978,1295380,OTHER
1984,TENNESSEE,TN,47,62,54,"JOHNSON, SONIA",CITIZENS,FALSE,978,1711993,OTHER
2004,NEBRASKA,NE,31,46,35,"COBB, DAVID",GREEN,FALSE,978,778186,OTHER
1980,KANSAS,KS,20,47,32,"HALL, GUS",COMMUNIST PARTY USE,FALSE,967,979795,OTHER
1980,UTAH,UT,49,87,67,"GREAVES, PERCY L, JR.",AMERICAN,FALSE,965,604152,OTHER
2004,NEW HAMPSHIRE,NH,33,12,4,OTHER,,TRUE,965,678287,OTHER
2004,SOUTH DAKOTA,SD,46,45,37,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,964,388215,LIBERTARIAN
2020,MICHIGAN,MI,26,34,23,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,TRUE,963,5539302,OTHER
1992,WISCONSIN,WI,55,35,25,BLANK VOTE/SCATTERING,,FALSE,961,2531064,OTHER
1984,ARKANSAS,AR,5,71,42,"JOHNSON, SONIA",CITIZENS,FALSE,960,884406,OTHER
1992,MINNESOTA,MN,27,41,33,"FULANI, LENORA",NEW ALLIANCE,FALSE,958,2347948,OTHER
2008,DISTRICT OF COLUMBIA,DC,11,53,55,"NADER, RALPH",INDEPENDENT,FALSE,958,265853,OTHER
1988,ALASKA,AK,2,94,81,,,TRUE,957,200116,OTHER
2004,VERMONT,VT,50,13,6,OTHER,,TRUE,957,312309,OTHER
1980,MICHIGAN,MI,26,34,23,,,TRUE,956,3909725,OTHER
1980,WASHINGTON,WA,53,91,73,"MCREYNOLDS, DAVID",SOCIALIST,FALSE,956,1742394,OTHER
2004,UTAH,UT,49,87,67,"JAY, CHARLES",PERSONAL CHOICE,FALSE,946,927844,OTHER
2012,FLORIDA,FL,12,59,43,"HOEFLING, THOMAS CONRAD """"TOM""""",AMERICAN INDEPENDENT,FALSE,946,8474179,OTHER
2000,SOUTH CAROLINA,SC,45,57,48,"HAGELIN, JOHN",NATURAL LAW,FALSE,943,1383902,OTHER
1976,NEW HAMPSHIRE,NH,33,12,4,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,936,339627,LIBERTARIAN
1992,DELAWARE,DE,10,51,11,"MARROU, ANDRE",LIBERTARIAN,FALSE,935,289620,LIBERTARIAN
1996,ARKANSAS,AR,5,71,42,"FORBES, RALPH",AMERICA FIRST,FALSE,932,884262,OTHER
2004,NEBRASKA,NE,31,46,35,OTHER,,TRUE,931,778186,OTHER
2020,HAWAII,HI,15,95,82,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,931,579784,OTHER
1976,ARIZONA,AZ,4,86,61,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,928,742719,OTHER
1996,ALASKA,AK,2,94,81,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,FALSE,925,241620,OTHER
1980,NEW JERSEY,NJ,34,22,12,"WENDELKEN, MARTIN E.",INDEPENDENT,FALSE,923,2975684,OTHER
1992,ARIZONA,AZ,4,86,61,"FULANI, LENORA",NEW ALLIANCE,FALSE,923,1486975,OTHER
2020,RHODE ISLAND,RI,44,15,5,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,FALSE,923,516990,OTHER
2000,ALASKA,AK,2,94,81,"HAGELIN, JOHN",NATURAL LAW,FALSE,919,285560,OTHER
2000,MARYLAND,MD,24,52,52,"PHILLIPS, HOWARD",CONSTITUTION PARTY,FALSE,918,2025212,OTHER
2012,CONNECTICUT,CT,9,16,1,,,TRUE,918,1558204,OTHER
2000,KENTUCKY,KY,21,61,51,,CONSTITUTION PARTY,FALSE,915,1544106,OTHER
1992,MICHIGAN,MI,26,34,23,,,TRUE,914,4274673,OTHER
2008,INDIANA,IN,18,32,22,"NADER, RALPH",INDEPENDENT,TRUE,909,2751054,OTHER
2004,RHODE ISLAND,RI,44,15,5,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,907,437134,LIBERTARIAN
1976,WASHINGTON,WA,53,91,73,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,905,1555534,OTHER
1988,NORTH DAKOTA,ND,38,44,36,"LAROUCHE, LYNDON, JR.",NATIONAL ECONOMIC RECOVERY,FALSE,905,297261,OTHER
1976,WASHINGTON,WA,53,91,73,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,903,1555534,OTHER
1984,MARYLAND,MD,24,52,52,"HALL, GUS",COMMUNIST PARTY USE,FALSE,898,1675873,OTHER
2004,ALABAMA,AL,1,63,41,OTHER,,TRUE,898,1883415,OTHER
2020,INDIANA,IN,18,32,22,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,TRUE,893,3033118,OTHER
1984,IOWA,IA,19,42,31,"BAKER, GERALD",BIG DEAL PARTY,FALSE,892,1319805,OTHER
1992,LOUISIANA,LA,22,72,45,"HAGELIN, JOHN",NATURAL LAW,FALSE,889,1790017,OTHER
1984,FLORIDA,FL,12,59,43,OTHER,,FALSE,885,4180051,OTHER
2012,NEW HAMPSHIRE,NH,33,12,4,SCATTERING,,FALSE,875,710972,OTHER
2016,NORTH DAKOTA,ND,38,44,36,"STEIN, JILL",GREEN,FALSE,3780,344360,OTHER
1984,ILLINOIS,IL,17,33,21,OTHER,,FALSE,862,4819088,OTHER
2016,NORTH DAKOTA,ND,38,44,36,"CASTLE, DARRELL L.",CONSTITUTION PARTY,FALSE,1833,344360,OTHER
2020,LOUISIANA,LA,22,72,45,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,860,2148062,OTHER
1984,COLORADO,CO,8,84,62,"DODGE, EARL",PROHIBITION,FALSE,858,1295380,OTHER
1980,ALASKA,AK,2,94,81,,,TRUE,857,158445,OTHER
2020,VERMONT,VT,50,13,6,"LAFONTAINE, CHRISTOPHER",INDEPENDENT,FALSE,856,370968,OTHER
2020,DISTRICT OF COLUMBIA,DC,11,53,55,"LA RIVA, GLORIA ESTELLA",INDEPENDENT,TRUE,855,344356,OTHER
2020,FLORIDA,FL,12,59,43,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,TRUE,854,11067456,OTHER
1996,CALIFORNIA,CA,6,93,71,,,TRUE,853,10019469,OTHER
2004,NEVADA,NV,32,88,65,"COBB, DAVID",GREEN,FALSE,853,829587,OTHER
2004,NORTH DAKOTA,ND,38,44,36,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,851,312833,LIBERTARIAN
1996,NORTH DAKOTA,ND,38,44,36,"BROWNE, HARRY",LIBERTARIAN,FALSE,847,266411,LIBERTARIAN
2020,RHODE ISLAND,RI,44,15,5,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,FALSE,847,516990,OTHER
2004,RHODE ISLAND,RI,44,15,5,NONPARTISAN,NONPARTISAN,FALSE,845,437134,OTHER
1984,UTAH,UT,49,87,67,"JOHNSON, SONIA",CITIZENS,FALSE,844,629656,OTHER
1992,WYOMING,WY,56,83,68,"MARROU, ANDRE",LIBERTARIAN,FALSE,844,199884,LIBERTARIAN
1984,ALASKA,AK,2,94,81,OTHER,,FALSE,843,207605,OTHER
1984,MASSACHUSETTS,MA,25,14,3,OTHER,,FALSE,843,2559383,OTHER
1984,ARKANSAS,AR,5,71,42,"DODGE, EARL",PROHIBITION,FALSE,842,884406,OTHER
